,Data_Value
2,6.2
3,5.9
58,7.6
59,6.7
114,7.1
115,6.3
170,7.8
171,6.4
226,7.6
227,5.9
282,7.7
283,6.1
338,6.3
339,6.2
394,7.6
395,6.5
450,8.8
451,6.7
506,8.8
507,6.3
562,7.5
563,6.6
618,7.4
619,6.5
674,7.7
675,6.3
730,8.1
731,6.6
786,6.9
787,6.5
842,7.2
843,6.7
898,7.9
899,6.7
954,6.2
955,6.3
1010,7.9
1011,6.5
1066,7.0
1067,6.4
1122,7.4
1123,6.6
1178,8.6
1179,6.6
1234,8.3
1235,5.9
1290,8.8
1291,6.4
1346,8.7
1347,6.7
1402,8.3
1403,6.7
1458,7.8
1459,6.3
1514,9.7
1515,6.7
1570,6.0
1571,6.0
1626,6.9
1627,6.5
1682,7.2
1683,6.8
1738,7.2
1739,6.5
1794,8.0
1795,6.6
1850,9.6
1851,6.7
1906,7.7
1907,6.0
1962,7.3
1963,6.5
2018,6.8
2019,6.4
2074,7.9
2075,6.7
2130,9.1
2131,6.6
2186,5.3
2187,6.7
2242,6.7
2243,6.2
2298,6.0
2299,6.6
2354,7.3
2355,6.6
2410,4.1
2411,5.9
2466,6.9
2467,6.1
2522,8.6
2523,6.6
2578,6.0
2579,6.2
2634,6.4
2635,6.5
2690,8.2
2691,5.9
2746,9.3
2747,6.6
2802,7.2
2803,6.3
2858,8.0
2859,6.3
2914,7.2
2915,6.6
2970,7.7
2971,6.6
3026,8.2
3027,6.8
3082,7.1
3083,6.7
3138,8.1
3139,6.6
3194,9.4
3195,6.3
3250,6.9
3251,6.6
3306,10.6
3307,6.6
3362,7.5
3363,6.5
3418,2.4
3419,6.7
3474,8.0
3475,6.5
3530,8.6
3531,6.6
3586,7.1
3587,6.2
3642,6.1
3643,6.3
3698,7.1
3699,6.6
3754,7.8
3755,6.7
3810,6.1
3811,6.6
3866,7.3
3867,6.6
3922,8.2
3923,6.6
3978,7.8
3979,6.5
4034,4.2
4035,6.2
4090,7.6
4091,6.0
4146,9.2
4147,6.5
4202,7.2
4203,6.6
4258,9.2
4259,6.7
4314,8.0
4315,6.1
4370,6.1
4371,6.5
4426,7.3
4427,6.2
4482,7.5
4483,6.7
4538,6.0
4539,6.6
4594,8.4
4595,6.8
4650,5.9
4651,6.2
4706,8.2
4707,6.6
4762,5.3
4763,6.5
4818,8.0
4819,6.7
4874,8.1
4875,6.7
4930,7.4
4931,6.2
4986,5.9
4987,5.9
5042,7.8
5043,6.5
5098,7.6
5099,6.4
5154,8.1
5155,6.7
5210,7.7
5211,6.7
5266,7.1
5267,6.6
5322,7.4
5323,6.5
5378,9.3
5379,6.6
5434,7.8
5435,6.2
5490,6.7
5491,6.3
5546,6.6
5547,6.6
5602,7.5
5603,6.6
5658,6.7
5659,6.6
5714,6.9
5715,5.9
5770,8.2
5771,6.6
5826,7.8
5827,6.4
5882,6.7
5883,6.5
5938,9.5
5939,6.1
5994,9.4
5995,6.7
6050,7.0
6051,6.7
6106,10.6
6107,6.6
6162,6.8
6163,6.6
6218,7.4
6219,6.7
6274,8.6
6275,6.6
6330,5.8
6331,6.5
6386,11.8
6387,6.6
6442,8.0
6443,6.4
6498,7.1
6499,6.7
6554,7.9
6555,6.2
6610,7.3
6611,6.2
6666,7.8
6667,6.5
6722,7.8
6723,5.8
6778,6.3
6779,6.6
6834,7.4
6835,6.3
6890,7.4
6891,6.6
6946,6.2
6947,7.1
7002,8.1
7003,6.7
7058,7.8
7059,6.7
7114,7.0
7115,6.5
7170,12.0
7171,6.7
7226,12.5
7227,6.8
7282,6.9
7283,6.5
7338,7.2
7339,6.2
7394,7.1
7395,6.7
7450,7.0
7451,6.4
7506,4.3
7507,6.2
7562,7.4
7563,6.3
7618,7.3
7619,6.5
7674,8.2
7675,6.4
7730,7.0
7731,6.5
7786,8.4
7787,6.6
7842,8.4
7843,6.7
7898,8.1
7899,6.1
7954,3.4
7955,5.8
8010,8.0
8011,6.6
8066,8.6
8067,6.6
8122,10.4
8123,6.7
8178,7.7
8179,6.7
8234,7.9
8235,6.0
8290,7.4
8291,6.4
8346,6.1
8347,5.7
8402,8.8
8403,6.7
8458,6.9
8459,7.0
8514,5.9
8515,6.3
8570,7.4
8571,6.2
8626,6.6
8627,6.9
8682,5.2
8683,6.5
8738,8.4
8739,6.5
8794,6.6
8795,6.6
8850,6.1
8851,6.5
8906,6.7
8907,5.6
8962,8.4
8963,6.6
9018,7.3
9019,6.5
9074,7.6
9075,6.3
9130,7.6
9131,6.3
9186,5.4
9187,6.4
9242,7.7
9243,3.5
9298,7.1
9299,6.6
9354,6.6
9355,6.6
9410,6.5
9411,6.4
9466,9.4
9467,6.1
9522,7.8
9523,6.4
9578,11.3
9579,6.6
9634,7.6
9635,6.4
9690,7.2
9691,6.4
9746,6.5
9747,6.3
9802,8.2
9803,6.6
9858,8.6
9859,6.1
9914,4.4
9915,6.4
9970,7.5
9971,6.4
10026,7.7
10027,6.7
10082,6.8
10083,6.1
10138,5.8
10139,6.3
10194,7.2
10195,6.8
10250,5.7
10251,6.6
10306,8.1
10307,6.7
10362,7.0
10363,6.0
10418,8.8
10419,6.3
10474,7.5
10475,6.2
10530,7.9
10531,6.6
10586,8.1
10587,6.4
10642,8.0
10643,6.0
10698,7.7
10699,6.2
10754,9.2
10755,6.3
10810,8.0
10811,6.7
10866,6.9
10867,6.5
10922,7.3
10923,6.5
10978,7.7
10979,6.7
11034,8.2
11035,6.7
11090,8.6
11091,6.6
11146,7.4
11147,6.5
11202,12.9
11203,6.7
11258,6.8
11259,6.3
11314,7.6
11315,6.6
11370,8.3
11371,6.6
11426,9.2
11427,6.7
11482,7.0
11483,6.3
11538,11.5
11539,6.7
11594,8.5
11595,6.7
11650,6.1
11651,5.8
11706,5.9
11707,5.8
11762,6.2
11763,6.3
11818,7.7
11819,6.4
11874,7.0
11875,6.6
11930,6.2
11931,6.5
11986,7.6
11987,6.6
12042,8.4
12043,6.0
12098,8.0
12099,6.0
12154,9.5
12155,6.7
12210,8.3
12211,6.7
12266,7.5
12267,5.9
12322,5.8
12323,6.1
12378,8.1
12379,6.6
12434,11.0
12435,6.6
12490,7.5
12491,6.5
12546,9.5
12547,6.3
12602,8.9
12603,6.6
12658,5.5
12659,6.2
12714,5.9
12715,6.2
12770,7.8
12771,6.4
12826,6.1
12827,6.1
12882,7.1
12883,5.7
12938,5.9
12939,6.6
12994,7.1
12995,6.3
13050,6.0
13051,6.5
13106,5.7
13107,6.4
13162,8.3
13163,6.3
13218,7.1
13219,6.6
13274,7.8
13275,6.2
13330,9.9
13331,6.5
13386,10.3
13387,6.7
13442,6.3
13443,6.0
13498,8.0
13499,6.4
13554,7.5
13555,6.6
13610,10.6
13611,6.6
13666,7.0
13667,6.2
13722,5.1
13723,5.9
13778,9.1
13779,6.6
13834,8.7
13835,6.0
13890,7.2
13891,6.4
13946,7.1
13947,6.3
14002,6.8
14003,6.4
14058,8.7
14059,6.2
14114,3.7
14115,6.1
14170,8.6
14171,6.7
14226,7.5
14227,6.5
14282,6.6
14283,6.6
14338,6.8
14339,6.7
14394,7.6
14395,6.6
14450,8.0
14451,6.2
14506,7.3
14507,6.5
14562,7.3
14563,6.4
14618,6.5
14619,6.7
14674,5.6
14675,6.6
14730,7.5
14731,6.5
14786,7.1
14787,6.7
14842,7.9
14843,6.4
14898,8.4
14899,6.5
14954,7.5
14955,6.6
15010,8.0
15011,6.1
15066,7.1
15067,6.6
15122,7.1
15123,6.7
15178,7.5
15179,6.5
15234,12.6
15235,6.7
15290,7.2
15291,6.7
15346,6.8
15347,6.6
15402,7.9
15403,6.2
15458,7.5
15459,6.7
15514,7.8
15515,6.6
15570,7.7
15571,6.8
15626,8.0
15627,6.3
15682,8.0
15683,6.3
15738,9.1
15739,6.6
15794,9.3
15795,6.5
15850,7.2
15851,6.0
15906,5.8
15907,6.1
15962,7.0
15963,6.5
16018,8.5
16019,6.6
16074,8.0
16075,6.6
16130,10.2
16131,6.7
16186,8.4
16187,6.2
16242,10.0
16243,6.7
16298,7.8
16299,6.6
16354,7.0
16355,6.5
16410,6.6
16411,6.4
16466,12.2
16467,6.6
16522,7.5
16523,6.3
16578,6.5
16579,6.6
16634,7.0
16635,6.7
16690,8.5
16691,6.7
16746,8.2
16747,6.7
16802,9.1
16803,6.6
16858,6.6
16859,6.6
16914,9.0
16915,6.2
16970,7.8
16971,6.6
17026,9.3
17027,6.6
17082,9.0
17083,6.6
17138,7.7
17139,6.5
17194,7.1
17195,6.4
17250,7.6
17251,6.5
17306,7.8
17307,6.2
17362,7.5
17363,6.2
17418,5.9
17419,6.6
17474,6.7
17475,6.3
17530,7.7
17531,6.5
17586,8.3
17587,6.2
17642,7.4
17643,6.7
17698,9.8
17699,6.4
17754,9.6
17755,6.6
17810,7.2
17811,6.5
17866,7.5
17867,6.6
17922,9.7
17923,6.2
17978,7.2
17979,6.0
18034,7.9
18035,6.3
18090,9.4
18091,6.7
18146,7.7
18147,6.5
18202,7.7
18203,6.7
18258,5.7
18259,6.6
18314,9.2
18315,6.7
18370,10.0
18371,6.7
18426,7.6
18427,6.9
18482,7.2
18483,6.7
18538,7.6
18539,6.7
18594,8.3
18595,6.0
18650,6.4
18651,6.5
18706,7.1
18707,6.5
18762,6.1
18763,6.6
18818,8.2
18819,6.7
18874,9.0
18875,6.6
18930,8.3
18931,6.6
18986,7.5
18987,6.7
19042,11.2
19043,6.7
19098,7.7
19099,6.0
19154,7.8
19155,6.5
19210,6.7
19211,6.4
19266,7.6
19267,6.7
19322,8.1
19323,6.4
19378,8.8
19379,6.7
19434,9.5
19435,6.7
19490,8.0
19491,6.2
19546,6.4
19547,6.6
19602,6.8
19603,6.2
19658,5.2
19659,6.3
19714,6.4
19715,6.0
19770,8.3
19771,6.3
19826,4.4
19827,6.3
19882,6.3
19883,6.3
19938,5.8
19939,6.3
19994,7.0
19995,6.0
20050,6.6
20051,6.6
20106,7.9
20107,6.3
20162,7.8
20163,6.5
20218,6.8
20219,6.4
20274,6.4
20275,6.8
20330,8.3
20331,6.5
20386,6.9
20387,6.1
20442,5.8
20443,6.5
20498,6.8
20499,6.4
20554,7.3
20555,6.5
20610,8.0
20611,6.6
20666,7.8
20667,6.1
20722,7.3
20723,6.6
20778,7.8
20779,6.5
20834,9.7
20835,6.5
20890,7.8
20891,6.7
20946,8.9
20947,6.7
21002,6.6
21003,6.5
21058,6.9
21059,5.9
21114,5.4
21115,6.6
21170,7.7
21171,6.7
21226,7.7
21227,6.6
21282,7.5
21283,6.6
21338,5.3
21339,6.5
21394,6.8
21395,6.4
21450,7.2
21451,6.6
21506,6.5
21507,6.4
21562,8.5
21563,6.7
21618,8.9
21619,6.5
21674,9.6
21675,6.6
21730,8.3
21731,6.7
21786,7.8
21787,6.3
21842,8.1
21843,6.2
21898,9.4
21899,6.6
21954,7.0
21955,6.7
22010,8.6
22011,6.6
22066,7.9
22067,6.3
22122,5.5
22123,6.1
22178,7.3
22179,6.3
22234,9.4
22235,6.8
22290,12.4
22291,5.5
22346,7.4
22347,6.6
22402,4.7
22403,6.7
22458,6.4
22459,6.4
22514,8.3
22515,6.6
22570,10.5
22571,6.6
22626,5.3
22627,6.0
22682,6.8
22683,6.7
22738,9.2
22739,6.6
22794,9.8
22795,6.8
22850,8.5
22851,6.6
22906,9.1
22907,6.7
22962,8.0
22963,6.1
23018,6.1
23019,6.3
23074,6.4
23075,6.5
23130,5.9
23131,6.5
23186,6.5
23187,6.3
23242,7.8
23243,6.7
23298,9.2
23299,6.6
23354,7.8
23355,6.4
23410,8.2
23411,6.7
23466,12.2
23467,6.6
23522,6.8
23523,6.5
23578,8.5
23579,6.6
23634,7.7
23635,6.2
23690,8.2
23691,6.7
23746,9.1
23747,6.5
23802,11.1
23803,6.8
23858,7.3
23859,6.3
23914,6.5
23915,6.4
23970,9.2
23971,6.6
24026,8.2
24027,6.6
24082,11.3
24083,6.7
24138,9.1
24139,6.4
24194,7.8
24195,6.6
24250,7.4
24251,6.6
24306,5.0
24307,6.7
24362,9.1
24363,6.7
24418,6.9
24419,6.0
24474,6.4
24475,6.2
24530,2.9
24531,6.7
24586,8.4
24587,6.6
24642,7.1
24643,6.6
24698,6.6
24699,5.4
24754,10.0
24755,6.7
24810,7.6
24811,6.5
24866,8.1
24867,6.6
24922,7.0
24923,6.7
24978,8.2
24979,6.6
25034,6.4
25035,6.0
25090,7.9
25091,6.7
25146,4.0
25147,5.8
25202,8.5
25203,6.7
25258,2.5
25259,6.8
25314,8.1
25315,6.4
25370,7.4
25371,6.5
25426,6.9
25427,6.2
25482,7.3
25483,6.4
25538,9.6
25539,6.6
25594,6.1
25595,6.3
25650,7.2
25651,6.7
25706,6.8
25707,6.6
25762,8.1
25763,6.6
25818,10.0
25819,6.5
25874,7.2
25875,6.3
25930,7.6
25931,6.6
25986,7.6
25987,6.4
26042,6.7
26043,6.3
26098,8.4
26099,6.7
26154,9.4
26155,6.7
26210,7.4
26211,6.5
26266,7.3
26267,6.8
26322,13.0
26323,6.6
26378,4.3
26379,6.4
26434,8.9
26435,6.5
26490,6.0
26491,6.5
26546,8.8
26547,6.7
26602,9.2
26603,6.8
26658,6.8
26659,6.1
26714,6.8
26715,6.5
26770,12.4
26771,6.7
26826,8.4
26827,6.4
26882,8.3
26883,6.7
26938,10.5
26939,6.4
26994,7.5
26995,6.6
27050,8.0
27051,6.6
27106,7.7
27107,6.3
27162,4.6
27163,6.4
27218,5.3
27219,6.3
27274,6.9
27275,7.0
27330,8.2
27331,6.6
27386,10.2
27387,6.6
27442,6.9
27443,6.5
27498,7.7
27499,6.3
27554,7.4
27555,6.7
27610,6.9
27611,6.3
27666,5.8
27667,6.5
27722,7.7
27723,6.6
27778,6.4
27779,6.4
27834,7.4
27835,6.6
27890,8.2
27891,6.3
27946,7.6
27947,6.7
28002,6.4
28003,6.5
28058,7.1
28059,5.9
28114,7.3
28115,6.6
28170,9.7
28171,6.6
28226,7.8
28227,6.0
28282,9.5
28283,6.6
28338,6.9
28339,5.7
28394,6.2
28395,6.4
28450,7.3
28451,6.0
28506,7.9
28507,6.5
28562,7.6
28563,6.5
28618,7.9
28619,6.4
28674,7.6
28675,6.5
28730,6.8
28731,6.5
28786,6.3
28787,6.6
28842,8.1
28843,6.2
28898,7.4
28899,6.6
28954,7.2
28955,6.7
29010,6.2
29011,6.4
29066,8.1
29067,6.2
29122,7.8
29123,6.8
29178,8.2
29179,6.6
29234,2.1
29235,6.7
29290,6.3
29291,6.5
29346,6.7
29347,6.5
29402,4.8
29403,6.5
29458,6.5
29459,6.7
29514,9.2
29515,6.7
29570,9.3
29571,6.6
29626,8.4
29627,6.6
29682,6.8
29683,6.3
29738,7.5
29739,6.7
29794,7.6
29795,6.7
29850,9.0
29851,7.0
29906,6.8
29907,5.8
29962,6.7
29963,6.5
30018,7.7
30019,6.4
30074,7.6
30075,6.2
30130,8.7
30131,6.6
30186,7.7
30187,6.5
30242,10.6
30243,6.7
30298,8.1
30299,6.4
30354,5.1
30355,6.2
30410,7.4
30411,6.7
30466,6.3
30467,5.8
30522,7.6
30523,6.6
30578,7.2
30579,6.5
30634,7.7
30635,6.7
30690,8.3
30691,6.7
30746,6.9
30747,6.5
30802,6.5
30803,5.9
30858,7.9
30859,6.5
30914,8.4
30915,6.2
30970,6.7
30971,6.5
31026,7.0
31027,6.1
31082,6.2
31083,6.3
31138,8.3
31139,6.2
31194,9.0
31195,6.6
31250,8.2
31251,6.5
31306,7.2
31307,6.5
31362,7.1
31363,6.3
31418,7.3
31419,6.1
31474,5.7
31475,6.7
31530,7.2
31531,6.8
31586,6.6
31587,6.4
31642,9.5
31643,6.7
31698,6.9
31699,5.9
31754,7.1
31755,6.2
31810,7.9
31811,6.6
31866,7.9
31867,6.6
31922,9.9
31923,6.6
31978,9.5
31979,6.5
32034,8.9
32035,6.3
32090,7.6
32091,6.4
32146,7.7
32147,6.1
32202,8.4
32203,6.2
32258,12.5
32259,6.6
32314,8.4
32315,6.2
32370,7.8
32371,6.6
32426,7.8
32427,6.7
32482,7.5
32483,6.7
32538,6.3
32539,6.3
32594,7.5
32595,6.6
32650,7.1
32651,6.7
32706,8.4
32707,6.2
32762,7.6
32763,6.7
32818,7.9
32819,6.3
32874,5.5
32875,6.4
32930,16.7
32931,6.7
32986,6.6
32987,6.3
33042,13.0
33043,6.6
33098,8.1
33099,6.7
33154,7.2
33155,6.6
33210,7.9
33211,6.5
33266,7.7
33267,6.8
33322,8.5
33323,6.6
33378,7.0
33379,6.7
33434,8.2
33435,6.2
33490,7.3
33491,6.5
33546,10.1
33547,6.6
33602,8.7
33603,6.7
33658,7.7
33659,6.3
33714,5.9
33715,6.4
33770,8.0
33771,6.2
33826,7.7
33827,6.6
33882,8.0
33883,6.6
33938,6.4
33939,6.6
33994,7.5
33995,6.5
34050,8.2
34051,6.2
34106,6.5
34107,6.5
34162,7.0
34163,5.7
34218,7.7
34219,6.3
34274,6.9
34275,6.4
34330,7.9
34331,6.5
34386,8.5
34387,6.6
34442,8.6
34443,6.6
34498,7.1
34499,6.4
34554,6.9
34555,6.7
34610,7.6
34611,6.6
34666,6.7
34667,6.6
34722,9.0
34723,6.6
34778,7.3
34779,6.7
34834,7.4
34835,6.4
34890,6.6
34891,6.1
34946,8.7
34947,6.7
35002,7.3
35003,6.4
35058,7.1
35059,6.4
35114,7.2
35115,6.6
35170,7.2
35171,6.6
35226,7.6
35227,6.4
35282,5.9
35283,5.8
35338,5.9
35339,5.7
35394,6.0
35395,6.4
35450,4.5
35451,6.3
35506,7.4
35507,6.3
35562,6.8
35563,6.3
35618,6.6
35619,6.6
35674,7.9
35675,6.6
35730,4.8
35731,6.4
35786,8.1
35787,6.4
35842,7.9
35843,6.0
35898,8.1
35899,6.1
35954,7.3
35955,6.4
36010,8.0
36011,6.6
36066,9.6
36067,6.7
36122,7.4
36123,6.5
36178,8.7
36179,6.3
36234,8.6
36235,6.5
36290,6.2
36291,6.5
36346,8.0
36347,6.0
36402,7.6
36403,6.7
36458,3.4
36459,6.3
36514,7.1
36515,6.5
36570,11.9
36571,6.7
36626,7.2
36627,6.7
36682,7.3
36683,6.7
36738,7.4
36739,6.1
36794,10.3
36795,6.5
36850,7.9
36851,6.3
36906,7.9
36907,6.2
36962,7.1
36963,6.5
37018,7.8
37019,6.6
37074,10.9
37075,6.7
37130,6.4
37131,6.4
37186,6.6
37187,6.6
37242,4.9
37243,6.3
37298,8.1
37299,6.6
37354,6.6
37355,6.3
37410,8.3
37411,6.1
37466,10.5
37467,6.6
37522,6.1
37523,6.1
37578,11.5
37579,6.6
37634,7.3
37635,6.6
37690,5.6
37691,6.6
37746,5.2
37747,6.6
37802,7.7
37803,6.3
37858,7.4
37859,6.6
37914,5.6
37915,6.6
37970,8.8
37971,6.6
38026,9.1
38027,6.6
38082,7.7
38083,6.6
38138,5.6
38139,6.6
38194,7.7
38195,6.6
38250,11.5
38251,6.1
38306,5.5
38307,6.5
38362,6.2
38363,6.0
38418,7.5
38419,6.6
38474,7.0
38475,5.9
38530,8.9
38531,6.7
38586,8.4
38587,6.3
38642,8.2
38643,6.5
38698,3.3
38699,6.3
38754,7.6
38755,6.5
38810,8.3
38811,6.7
38866,7.5
38867,6.5
38922,9.9
38923,6.6
38978,8.0
38979,6.6
39034,6.8
39035,6.5
39090,6.9
39091,6.3
39146,7.1
39147,5.9
39202,8.0
39203,6.2
39258,9.3
39259,6.3
39314,7.3
39315,6.3
39370,6.9
39371,6.6
39426,6.0
39427,6.6
39482,8.6
39483,6.7
39538,6.4
39539,6.6
39594,7.9
39595,6.5
39650,6.9
39651,5.8
39706,7.9
39707,6.1
39762,3.0
39763,6.3
39818,7.7
39819,6.7
39874,5.2
39875,6.5
39930,9.6
39931,6.8
39986,7.5
39987,6.1
40042,10.7
40043,6.7
40098,12.1
40099,6.7
40154,7.9
40155,6.7
40210,7.5
40211,6.7
40266,7.7
40267,6.5
40322,9.2
40323,6.6
40378,7.7
40379,6.6
40434,7.1
40435,6.6
40490,8.2
40491,6.5
40546,4.9
40547,6.6
40602,7.1
40603,6.4
40658,12.7
40659,6.7
40714,7.3
40715,6.3
40770,8.2
40771,6.5
40826,8.4
40827,5.2
40882,7.1
40883,6.6
40938,8.1
40939,6.5
